OH/Si,SHAP value
0.0,-0.0007253791866328877
0.0,-0.0004962168617685363
0.0,-0.0004890302005978581
0.0,-0.0007521904966580973
0.0,-0.0003886563260415243
0.0,-0.00028846393487608175
0.0,-0.00048669253079271116
0.0,-0.00019453843065454302
0.0,-0.00040271643464494884
0.0,-0.0003987578571937794
0.0,-0.00031379843632999655
0.0,-0.00032286798062164856
0.0,-0.00025707445788997457
0.0,-0.0003152259242297303
0.0,-0.0004886302604209244
0.0,-0.007463106269031325
0.0,-0.0009750130716170838
0.0,-0.00030740458736455364
0.0,-0.0004366187480664869
0.0,-0.0008485527810587593
0.0,-0.0003402119463178223
0.0,-0.0014392062126954786
0.0,-0.0003163070879596059
0.0,-0.000685193783013812
0.0,-0.00040677648162771777
0.0,-0.0003886299737530816
0.0,-0.00039533127535893396
0.0,-0.0005736836239928128
0.0,-0.00035240687686115816
0.0,-0.000846387582989084
0.0,-0.00030108760362227116
0.0,-0.00048735576226286575
0.0,-0.0003346311456069578
0.0,-0.00043394820812449027
0.0,-0.0003359627991074018
0.0,-0.000536077950405207
0.0,-0.0003125474789386014
0.0,-0.0004069842482844901
0.0,-0.00030826921685673993
0.0,-0.0004443598810480077
0.0,-0.0004206621466792639
0.0,-0.00035153242602855526
0.0,-0.00022974379320547865
0.0,-0.0004036851283218291
0.0,-0.0013676277931003666
0.0,-0.00017311244239339707
0.0,-0.0003972786024984351
0.0,-0.0006791223566779124
0.0,-0.00036240826417086817
0.0,-0.0005132018026390122
0.0,-0.00037613560709318507
0.0,-0.0002706804763399141
0.0,-0.0003285709501946653
0.0,-0.000414339961679311
0.0,-0.00046200328762655273
0.0,-0.00035002954312737225
0.0,-0.0004574195792305369
0.0,-0.0002765013156193559
0.0,-0.00043076690128604505
0.0,-0.000360834416555194
0.0,-0.00033162480031404825
0.0,-0.0005227507066952228
0.0,-0.0005399755475140892
0.0,-0.000685193783013812
0.0,-0.0005260472306547687
0.0,-0.0003414925303465783
0.0,-0.0003529244908733281
0.0,-0.00040165368237046165
0.0,-0.00041561594653221625
0.0,-0.0003930055413406132
0.0,-0.002851661349760999
0.0,-0.00039365939515970724
0.0,-0.0003327956956480827
0.0,-0.00032048146553585104
0.0,-0.0003415571042135154
0.0,-0.00037614844491795163
0.0,-0.0005361473292523154
0.0,-0.0006422677933874057
0.0,-0.0005049774406009343
0.0,-0.0003914954866085989
0.0,-0.0003976087275464956
0.0,-0.00037721217236045553
0.0,-0.00019480171207100826
0.0,-0.0008112002468712926
0.0,-0.00037308831423674783
0.0,-0.000384160484900881
0.0,-0.001180735973549549
0.0,-0.0003849710044568383
0.0,-0.0003688351222562003
0.0,-0.000301411859574841
0.0,-0.00010791978391312951
0.0,-0.0002881876205609185
0.0,-0.0005526641584396626
0.0,-0.000327437533166341
0.0,-0.0004044782288821312
0.0,-0.00014205255203582798
0.0,-0.002162461539575732
0.0,-0.00017761749528057884
0.0,-0.00030653375333706347
0.0,-0.00044192047515025085
0.0,-0.0003915700928463147
0.0,-0.00036848031637983826
0.0,-0.0003958506940359356
0.0,-0.0004215235272286862
0.0,-0.00035254774177323294
0.0,-0.00038952784535520443
0.0,-0.0005225128835211756
0.0,-0.0005113741214201393
0.0,-0.0004932499254897159
0.0,-0.00018305416408239544
0.0,-0.00021523927549577104
0.0,-0.0015308952829731367
0.0,-0.0003671867844298203
0.0,-0.0005905354184373544
0.0,-0.0006468618241944629
0.0,-0.0004938415425605623
0.0,-0.0006397935514379557
0.0,-0.0004662774196161124
0.0,-0.00019733223453016264
0.0,-0.00042683701945104766
0.0,-0.00035691367403192
0.0,-0.00032957853343469385
0.0,-0.00012324142178020626
0.0,-0.0005190754531320382
0.0,-0.00039852620922236785
0.0,-0.00041396254088146806
0.0,-0.00036093110642288823
0.0,-0.0005780303565416983
0.0,-0.00041897779769866646
0.0,-0.0006901059187506802
0.0,-0.0003412562639057836
0.0,-0.0005190322551639217
0.0,-0.0003255995905123509
0.0,-0.00036467566422329433
0.0,-0.0005266448330162553
0.0,-5.028205105169189e-05
0.0,-0.0005128662768290394
0.0,-0.0003718008419711471
0.0,-0.0004934228052639071
0.0,-0.000452687223209045
0.0,-0.00029728097032796335
0.0,-0.00032924530881854564
0.0,-0.00019224524792036185
0.0,-0.0004495442510255715
0.0,-0.00031202137242571884
0.0,-0.0003869918570238905
0.0,-0.0003107589363662946
0.0,-0.00016098015587872756
0.0,-0.00044629691973101205
0.0,-0.00040427743209981977
0.0,-0.0004340343147211457
0.0,-0.001448784391165608
0.0,-0.0004058751685402022
0.0,-0.0004784728957238988
0.0,-0.0008112002468712926
0.0,-0.0001683178602115368
0.0,-0.00041720940788679035
0.0,-0.0005132018026390122
0.0,-0.00035145513948045044
0.0,-0.0004358331985613765
0.0,-0.0006298081116923552
0.0,-0.0003353365664949522
0.0,-0.0003923465779932121
0.0,-0.0002734681133889417
0.0,-0.00039289405082886734
0.0,-0.0008435547875690469
0.0,-0.00025203821774075474
0.0,-5.217134591285041e-05
0.0,-0.00035936514763444866
0.0,-0.0002952320533478887
0.0,-0.0007464681978514398
0.0,-0.0003624061862101496
0.0,-0.0003966525036317901
0.0,-0.00036205452829073223
0.0,-0.0003123109441901474
0.0,-0.0027478298389436336
0.0,-0.0003900389887741341
0.0,-0.00019330696497006115
0.0,-0.0004014824797662045
0.0,-0.0003570927789917127
0.0,-0.0005061652889414769
0.0,-0.0002583574993168763
0.0,-0.0003674587984558287
0.0,-0.000513930653574376
0.0,-0.0004317419358440527
0.0,-0.0006791223566779124
0.0,-0.0004060659779516928
0.0,-0.00028763281723680765
0.0,-0.0003863807795556485
0.0,-0.0013992099142732357
0.0,-0.00046289655653762205
0.0,-0.00041452911267954724
0.0,-0.0002929906471355356
0.0,-0.0004159554896483758
0.0,-0.0003354094882095776
0.0,-0.00046184717590395756
0.0,-0.00033118310727745306
0.0,-0.0006257333139007171
0.0,-0.0004192752062192142
0.0,-0.0003057933921353081
0.0,-0.00045163813792679355
0.0,-0.00045745859144094185
0.0,-0.0014931918831350929
0.0,-0.00022361648926312827
0.0,-0.0004807091161382522
0.0,-0.00035838502767942805
0.0,-0.000197952569847954
0.0,-0.0007162290622127699
0.0,-0.0039617194113903765
0.0,-0.002838473439684388
0.0,-0.0002669486544469343
0.0,-0.00012336883171202014
0.0,-0.00040969023066042646
0.0,-0.0003961950697701788
0.0,-0.00024256602309704212
0.0,-0.0004807091161382522
0.0,-0.003153272922356548
0.0,-0.00040680856621541704
0.0,-0.00030564503206271154
0.0,-0.0002536067415010682
0.0,-0.00031442031274939484
0.0,-0.0008301206541490914
0.0,-0.00042359350858711426
0.0,-0.0004986859440616315
0.0,-0.00039890188560600195
0.0,-0.0004194037351369873
0.0,-0.0003299256555514432
0.0,-0.00039280972643977366
0.0,-0.0004609458336887704
0.0,-0.00036863414974866974
0.0,-0.00045287821323209743
0.0,-0.0003484265129701697
0.0,-0.00048512113252858
0.0,-0.00048362526351047527
0.0,-0.00029122658293127254
0.0,-0.00037881267499410756
0.0,-0.0006556929200764692
0.0,3.777780813037708e-05
0.0,-0.0004662774196161124
0.0,-0.00036116764117134233
