Cs/Si,SHAP value
0.0,-0.004959177768840994
0.0,-0.0005538658597416252
0.0,-0.0006678998077287215
0.0,-0.002582647974779622
0.0,-0.002316376555030722
0.0,-0.0005812007082961869
0.0,-0.000627310655294565
0.0,-0.000571993262233746
0.0,-0.0007069232277810398
0.0,-0.0006088931246788888
0.0,-0.0011712911314771103
0.0,-0.0005636322586083187
0.0,-0.0008795125799898687
0.0,-0.0008318427031769617
0.0,-0.0007518563497532765
0.0,-0.000542754583139701
0.0,-0.001659327350378317
0.0,-0.0008146647345390127
0.0,-0.001367032831215563
0.0,-0.001354669616816296
0.0,-0.0006635796220470821
0.0,-0.0017477558153850589
0.0,-0.0004583770685761212
0.0,-0.0012598537855522242
0.0,-0.000634341997456828
0.0,-0.000741281457340673
0.0,-0.0006064670470528996
0.0,-0.0005912669725287228
0.0,-0.0004612330042550499
0.0,-0.0039406895413309564
0.0,-0.006742033913826791
0.0,-0.0006648484829922995
0.0,-0.0006152188491148058
0.0,-0.0005069340460307139
0.0,-0.007499603135474345
0.0,-0.02993640478929823
0.0,-0.008152108253120098
0.0,-0.0032964585503566565
0.0,-0.0006419392105059821
0.0,-0.0005738369707198632
0.0,-0.0007071046301611968
0.0,-0.0026901398609080088
0.0,-0.0011419044386586153
0.0,-0.0012820571781046609
0.0,-0.000620095688805632
0.0,-0.0007771386693755934
0.0,-0.0009455727534182823
0.0,-0.0006474571919259954
0.0,-0.00045770213050606005
0.0,-0.0006364491995374525
0.0,-0.00109723727038857
0.0,-0.000668782153032929
0.0,-0.0015299335645683441
0.0,-0.0036649003651679593
0.0,-0.0006704938132458834
0.0,-0.0009005545209129558
0.0,-0.0006548118880464247
0.0,-0.0006671157847532573
0.0,-0.0017013858756657566
0.0,-0.00048815750923826963
0.0,-0.001292579152229065
0.0,-0.005616187821546583
0.0,-0.0013425956645387
0.0,-0.0007153896484687914
0.0,-0.0008864855684003263
0.0,-0.0006769346224394222
0.0,-0.0005970582343263939
0.0,-0.0006010104628504847
0.0,-0.0018745908934463106
0.0,-0.000527446704543825
0.0,-0.0006493157059503269
0.0,-0.000690411117842335
0.0,-0.00036691971925734536
0.0,-0.0005811769696216097
0.0,-0.004180960177900007
0.0,-0.001138195096083284
0.0,-0.000966256724976676
0.0,-0.0009043371761562874
0.0,-0.0005756435674677214
0.0,-0.0004947215071036991
0.0,-0.0006297494049630165
0.0,-0.0008349907242898553
0.0,-0.0010644481217114386
0.0,-0.0005483670966351479
0.0,-0.0009724189712864243
0.0,-0.0006618354052462971
0.0,-0.0006092754826513328
0.0,-0.0006518940401564462
0.0,-0.0008718281600096399
0.0,-0.0010484557524826866
0.0,-0.001177047289034607
0.0,-0.0006689962567287908
0.0,-0.0005006410593735215
0.0,-0.000677837423112816
0.0,-0.0007461583647947059
0.0,-0.0004716085114280723
0.0,-0.0013395637475765703
0.0,-0.0007333167779802758
0.0,-0.0008197122446436186
0.0,-0.0008443467859655461
0.0,-0.0004741368250519444
0.0,-0.0023161584949604143
0.0,-0.0008635904579891577
0.0,-0.0006161530822863777
0.0,-0.002889312426284476
0.0,-0.0006277178175684206
0.0,-0.0006649848440419238
0.0,-0.0006496888017074705
0.0,-0.000853879177200429
0.0,-0.0005670919028040525
0.0,-0.0005042819546189755
0.0,-0.0008981113094163416
0.0,-0.0006204808371921684
0.0,-0.0006205071560376194
0.0,-0.0006346080090354815
0.0,-0.0008332642453139779
0.0,-0.0009477353416341877
0.0,-0.000743368640087275
0.0,-0.0008343386395068993
0.0,-0.0005768142590310905
0.0,-0.003300666605713604
0.0,-0.0007556962401462613
0.0,-0.0006526372892570089
0.0,-0.00641030847707979
0.0,-0.0008224822109740875
0.0,-0.0004778156166227444
0.0,-0.001992994644856517
0.0,-0.0005461457823897634
0.0,-0.0005953585946711317
0.0,-0.0007373227682148445
0.0,-0.0004887554185047749
0.0,-0.0006164134005012019
0.0,-0.0006092934476469547
0.0,-0.0006158190450127317
0.0,-0.0006565949915047008
0.0,-0.0009262876500516744
0.0,-0.0012881911540044448
0.0,-0.0025819340587553536
0.0,-0.0004894528109559593
0.0,-0.0009619808165371716
0.0,-0.0007784566973713551
0.0,-0.0008980795665344003
0.0,-0.0009175393304699865
0.0,-0.0006566402659063413
0.0,-0.0008442202117316795
0.0,-0.0007081647601408338
0.0,-0.0009318630984131066
0.0,-0.0006077156062012282
0.0,-0.0006389938840692222
0.0,-0.0008894771040421158
0.0,-0.0024301426939432407
0.0,-0.0013156708652815815
0.0,-0.0012537962667085025
0.0,-0.0015720171331163107
0.0,-0.0006061518076139825
0.0,-0.0007430812599347848
0.0,-0.0006120986324517087
0.0,-0.0010442403669237998
0.0,-0.0005896880771925763
0.0,-0.0005527300744126163
0.0,-0.014558263041270966
0.0,-0.0006710046534794326
0.0,-0.010158002578419149
0.0,-0.00046259817807987007
0.0,-0.00038748847536910493
0.0,-0.0011158645819765354
0.0,-0.0006847690629145983
0.0,-0.0004776853138901936
0.0,-0.0004390046481701433
0.0,-0.0009994853656594338
0.0,-0.0006172742767492338
0.0,-0.0005040579841592588
0.0,-0.0029302688288613626
0.0,-0.000637047835050953
0.0,-0.0006193237712935697
0.0,-0.0008738108266836725
0.0,-0.0012670117163028805
0.0,-0.0012980654673761308
0.0,-0.0007561854192508239
0.0,-0.0035093361636394163
0.0,-0.0006778970288522269
0.0,-0.0009545352008627946
0.0,-0.0009852684995419407
0.0,-0.0006760870166013865
0.0,-0.0007858946759435545
0.0,-0.0018369253779155076
0.0,-0.0015209310013614822
0.0,-0.000622959017294309
0.0,-0.0010282595661772194
0.0,-0.0007102558623044539
0.0,-0.001961229206288026
0.0,-0.0006834743269232395
0.0,-0.006381790232090432
0.0,-0.0006328100963957325
0.0,-0.00064117066747235
0.0,-0.0006794007551773312
0.0,-0.005920235449207748
0.0,-0.0005222540854089274
0.0,-0.0008762795771533689
0.0,-0.0006441468164731386
0.0,-0.0007820697044351885
0.0,-0.0005556378858536931
0.0,-0.002995774168145302
0.0,-0.0006615127844538558
0.0,-0.0005385139488406464
0.0,-0.0006896138523204299
0.0,-0.0008990708912588294
0.0,-0.001118765161364858
0.0,-0.0005814109963773882
0.0,-0.0011138905807337954
0.0,-0.0006712077927404339
0.0,-0.00146282924821908
0.0,-0.0006873542039319222
0.0,-0.0020756414315076933
0.0,-0.00047249127016409445
0.0,-0.0006853240334030334
0.0,-0.0006120445074765725
0.0,-0.000961567057507949
0.0,-0.0006948787615090048
0.0,-0.0006433512212818618
