K/Si,SHAP value
0.0,-0.0007556689872455742
0.0,-0.0008751242419911146
0.0,-0.0005387356815603262
0.0,-0.0011800812843200266
0.0,-0.0005564484763553412
0.0,-0.0011134128975260138
0.0,-0.0011449216344309645
0.0,-0.0033457956560590317
0.0,-0.000693521095475308
0.0,-0.0006563087743067959
0.0,-0.0007464408921220183
0.0,-0.0006692171667993807
0.0,-0.0006780482541616156
0.0,-0.0006561508659652626
0.0,-0.0010707952931740515
0.0,-0.0017561230140839762
0.0,-0.0006008136624215308
0.0,-0.0006344272943721944
0.0,-0.00181069136152364
0.0,-0.003344617059019836
0.0,-0.0016980669846684284
0.0,-0.0011805370136888872
0.0,-0.000510458181460155
0.0,-0.0009610241383080586
0.0,-0.0010910233954180132
0.0,-0.0012256768803554302
0.0,-0.001263845344041185
0.0,-0.0010095355981433773
0.0,-0.0007488587685432585
0.0,-0.0009224226183543709
0.0,-0.0007187207164171497
0.0,-0.0007119347834453144
0.0,-0.0006842733945440238
0.0,-0.0008902044914491472
0.0,-0.0012331585781859803
0.0,-0.0005786762363763769
0.0,-0.0005965533938377795
0.0,-0.0007166027790553144
0.0,-0.0013301281949805136
0.0,-0.00044635021385477247
0.0,-0.0008431790839548391
0.0,-0.0007637434654554992
0.0,-0.000765433085765346
0.0,-0.0009542245414876511
0.0,-0.00046643361223421844
0.0,-0.0006281865601228319
0.0,-0.0010415736362824393
0.0,-0.0007632213098756091
0.0,-0.0014513046319969973
0.0,-0.00066829197778505
0.0,-0.00047195974765077184
0.0,-0.0006317085731486458
0.0,-0.0006253715108531311
0.0,-0.0008021724151267105
0.0,-0.008180379760521357
0.0,-0.0029250568785895974
0.0,-0.0006385436386246741
0.0,-0.0005070049220314871
0.0,-0.0007325353930578486
0.0,-0.0007028110259062615
0.0,-0.002540473817844399
0.0,-0.0006256532124039327
0.0,-0.0007578922044578089
0.0,-0.0006259558647780165
0.0,-0.0011866428631582097
0.0,-0.0008167921761196123
0.0,-0.0006874905718006911
0.0,-0.000719174573423815
0.0,-0.0004754690250613319
0.0,-0.00629058964924761
0.0,-0.0005154492934330034
0.0,-0.0005971901277714031
0.0,-0.0007220044710251544
0.0,-0.0007747818202087009
0.0,-0.0005900396828632327
0.0,-0.000752316453872282
0.0,-0.0007899861025674236
0.0,-0.001228168764616573
0.0,-0.0006796384808578458
0.0,-0.0008582699010621786
0.0,-0.0006682569244750974
0.0,-0.0008393026938401981
0.0,-0.0008602457617854662
0.0,-0.0006518592357553743
0.0,-0.0006830684344915777
0.0,-0.0010713187148616715
0.0,-0.0007364960550127576
0.0,-0.0020780268515190607
0.0,-0.0007744983872465678
0.0,-0.0007118939697007645
0.0,-0.0010132632156624214
0.0,-0.0014659656910303801
0.0,-0.000783023787772527
0.0,-0.0006826647441903922
0.0,-0.0007898622102217156
0.0,-0.001315434028416521
