Na/Si,SHAP value
0.0,-0.00028779430297404447
0.0,-0.00024562441036589383
0.0,-0.00023540258199878462
0.0,-0.00027219883640329496
0.0,-0.00034068229725363314
0.0,-0.0006615310946622725
0.0,-0.0003063333928081019
0.0,2.854908468038647e-06
0.0,-0.0002810992850916217
0.0,-0.00034763673229146186
0.0,-0.00025572008766888926
0.0,-0.00048594546206852114
0.0,-0.0002666452981337156
0.0,-0.00014320870215288992
0.0,-0.00028779430297404447
0.0,-5.175139636751758e-05
0.0,-0.00018701310690281828
0.0,-0.00023459760748837722
0.0,1.4801476039475301e-05
0.0,-0.00016076744829043627
0.0,-0.000763238228658376
0.0,0.00013308745257859265
0.0,-0.00035827229873692623
0.0,-3.214848072698788e-05
0.0,-0.00011878424160020621
0.0,-0.00037647738034703816
0.0,-0.00044369635033585894
0.0,-0.0001511278751169097
0.0,-0.0001537281535209224
0.0,-0.00013675966590338774
0.0,-0.0004547196406847329
0.0,-0.00012904659691754096
0.0,1.2977041250551905e-06
0.0,-0.00013160098921171094
0.0,-0.0003298085946272658
0.0,-0.0001567239422390077
0.0,-0.00011660920151381088
0.0,-0.0003112355876741066
0.0,-0.0005445917035482754
0.0,-9.107420723365458e-05
0.0,-0.00020948672278111726
0.0,-0.00018304469151116633
0.0,-0.0005298006292222835
0.0,-0.00013160098921171094
0.0,-0.0004379500332551406
0.0,-0.00029563451955162917
0.0,-0.00028953727020230853
0.0,-0.0003536570404860442
0.0,-0.0002523146461551911
0.0,-0.0004293096726720912
0.0,-0.0006987921082695912
0.0,-0.00045539050273380013
0.0,-0.00013691208739774794
0.0,-0.0007022666329447953
0.0,-0.000563664583896053
0.0,-0.0009519377339765529
0.0,-6.683750325899585e-05
0.0,-0.0002979541316543335
0.0,-0.00037455546499708277
0.0,-0.0001567239422390077
0.0,-0.00022968748061548414
0.0,-0.000694753174659156
0.0,-0.0001091453360575085
0.0,-5.302881794489097e-07
0.0,-2.379188127837425e-05
0.0,-0.00024022977585008503
0.0,-1.0170124104825205e-07
0.0,-0.005378850074747803
0.0,-0.0001537281535209224
0.0,-0.0002560591222277139
0.0,-0.00015759973637172937
0.0,-0.0004526361931915238
0.0,-0.00039074013073017066
0.0,-0.0003723526321288934
0.0,-0.0001755226437701619
0.0,-0.0002449036345961467
0.0,-1.2789698412783111e-05
0.0,-0.0001169256056878892
0.0,-0.00029405248687408553
0.0,-0.00023761720003514643
0.0,-0.00023761720003514643
0.0,-0.0019586587618923026
0.0,-0.00018505553598495357
0.0,-0.0001786388696381763
0.0,-0.00042525646812860917
0.0,-0.0003486140175181817
0.0,-0.000311784050771952
0.0,-0.00017061190064192458
0.0,-7.08883659096508e-05
0.0,-8.618132091617145e-05
0.0,-0.0016955560482622362
0.0,-0.0009549097274314256
0.0,-0.00021403846235820454
0.0,-0.00022755093294592296
0.0,-0.0001662731804042795
0.0,-0.00030778594459992777
0.0,-0.00031439654355390365
0.0,-9.435561478271057e-05
0.0,-0.0019633358006020704
0.0,-0.00028953515791995006
0.0,-0.00016478406673974656
0.0,-0.0006627022649548928
0.0,-1.2695207790083084e-05
0.0,-0.0001666763254080817
0.0,-0.0008433026210254227
0.0,-0.00013239312682956296
0.0,-0.00035783008526199046
0.0,-0.0001198794968148443
0.0,-0.000754316150842872
0.0,-0.0005541713574706413
0.0,-0.0001679705338458938
0.0,-0.00015858790439438264
0.0,-0.0005605893445390592
0.0,-0.0008384345840178539
0.0,-0.0007831739606991563
0.0,3.5178192337102297e-06
0.0,-0.0006028922634732019
0.0,-0.00014016124614189287
0.0,-5.175139636751758e-05
0.0,-0.0007917205062393378
0.0,-0.00034559700193219605
0.0,7.507339614160601e-05
0.0,-0.0001345776450060292
0.0,-0.0007468776092976245
0.0,-0.0002668387935732893
0.0,-0.0007451417418100935
0.0,-0.0001851981150598906
0.0,-0.0006847071366148528
0.0,-0.00022298075408364344
0.0,-0.0002252925856306409
0.0,-0.0005018273636560916
0.0,-0.0002685657991963794
0.0,-2.2928379448511304e-06
0.0,-0.00027581646155287726
0.0,-0.0004547196406847329
0.0,-0.0006525057614586742
0.0,-5.521308933053972e-06
0.0,-0.00032035432332553027
0.0,-0.0012528348414528833
0.0,-0.0007404564552889032
0.0,-0.001540713481262992
0.0,-0.0005960919800229025
0.0,-0.0005676431421220887
0.0,-0.0009750229673823706
0.0,-5.175139636751758e-05
0.0,-0.00022900068413212975
0.0,-0.00025711258617909917
0.0,-0.00047418402639216585
0.0,-0.00020604365888341028
0.0,-0.0003867231536329173
0.0,-0.0006569524801396086
0.0,-9.365217721133956e-05
0.0,-0.0002676847928445745
0.0,-0.00027302321313181304
0.0,-0.00027984437249059047
0.0,-0.0001961195342055933
0.0,-0.0006442122000677751
0.0,-7.232160585595442e-06
0.0,-0.0004152240809021188
0.0,-0.0002675119522305288
0.0,-0.0005797499445612166
0.0,-0.0002573886708287235
0.0,-0.0007379613023031543
0.0,-0.0002619395995830913
0.0,-0.00011689034111130245
0.0,-0.0019437328450092222
0.0,-0.00024961459831762716
0.0,-0.00029639590590274965
0.0,-0.00028220385972248886
0.0,-0.0006589998763328385
0.0,-0.0004485559914850437
0.0,-0.0009266162207326693
0.0,-0.00016171675547898567
0.0,-0.00025572008766888926
0.0,-0.00014174572144884511
0.0,-0.00037386301684758495
0.0,-0.0002083089437425238
0.0,-0.0004412870384875136
0.0,-0.00042889775605670414
0.0,-0.0007698688279114352
0.0,-0.00025827656395911524
0.0,-1.1180094817544461e-05
0.0,-0.00014893127406212454
0.0,-0.0004570659276037848
0.0,-0.00021554613465724553
0.0,-2.4101948533604822e-05
0.0,-0.0010648386035430875
0.0,-0.000446417645555928
0.0,-9.333389463961115e-05
0.0,-0.00012672729521118984
0.0,-0.00030458548218748104
0.0,-0.00028811062333753876
0.0,-0.00025789066641849616
0.0,-0.0005979236238157418
0.0,-0.0002230247230212902
0.0,-0.0004989403142304346
0.0,-0.0003149229889484394
0.0,4.924197003284654e-06
0.0,-0.00030389797682566416
0.0,-0.0001909550152393703
0.0,0.00019508906482401997
0.0,-0.0005599620237895011
0.0,-0.0002935830560336622
0.0,-0.0009228685179000265
0.0,-0.0005573634923839064
0.0,-0.000480966676462296
0.0,-0.0003363061125317116
0.0,-5.918506617612165e-05
0.0,-0.00028218381415369697
0.0,-0.0002702341418325908
0.0,-0.00010603688260926702
0.0,-3.37623896382007e-05
0.0,-0.00044162874223054727
0.0,-0.00021311682203252632
0.0,-4.3672114302603384e-05
0.0,-0.0001449767251862265
0.0,-2.7063370428178033e-06
0.0,-2.3934750386755864e-05
0.0,-0.0002874613436996165
0.0,-0.0005290375591019966
0.0,-0.00030692460987581937
0.0,-5.521308933053979e-06
0.0,-0.0008101062110551489
0.0,-0.0072110660064579985
0.0,-4.724988443934561e-05
0.0,-0.0002931720240071042
0.0,-1.4019640989641815e-05
0.0,1.4047830930386422e-05
0.0,-0.00020666346823795811
0.0,-0.0002977991146452292
0.0,-0.000906364626859968
0.0,-0.0003745755804940823
0.0,-0.00011413908407286671
0.0,-0.0022818165707599856
0.0,-0.00017020535645135757
0.0,-5.5988741979577985e-05
0.0,-0.00033122699665708006
0.0,-0.0003745875928135851
0.0,-0.0006615310946622725
0.0,-0.0005437888331417443
0.0,2.644287582180014e-05
0.0,-0.00038985438234868957
0.0,-0.00010194134156510281
0.0,-0.00029722825514329047
0.0,-0.0008587932747852853
0.0,9.029018802770726e-05
0.0,-0.0003812094341226315
0.0,-0.0001943624166915159
0.0,-0.00019031725009669817
0.0,-1.0170124104825205e-07
0.0,-0.00032225827932545585
0.0,-0.0005483437942359147
0.0,-0.00046948571103931365
0.0,-0.00022324310835020568
0.0,-0.0007450531198254357
0.0,-0.0006793370036833809
0.0,-0.0004161450993217645
0.0,-0.00010797821220344022
0.0,0.0003124485049570714
0.0,-0.0002595512893861062
0.0,-0.000908038371958637
0.0,-0.018477777541069856
0.0,0.000917633595141525
0.0,-0.00013760043908946545
0.0,-6.213812688654555e-05
0.0,-0.00015806770496551426
0.0,-0.00012717221729281758
0.0,-9.666607981620901e-05
0.0,-0.0002920752737674929
