Crystallization temp,SHAP value
0.0,-0.000282741431876223
0.0,-0.0005052323199462583
0.0,-0.0004274886788238447
0.0,-0.00033625301216520196
0.0,-0.00033318569011578136
30.0,-0.0016220384607572088
30.0,-0.0011768651295027614
30.0,-0.0022549289860432087
50.0,-0.000246875095102191
55.0,-0.00020841111918182333
60.0,-0.00017953173697257165
60.0,-0.00032614352607096623
60.0,-0.00020614009513346548
60.0,-0.00020614009513346548
65.0,-0.00029458375229663233
65.0,-0.0003396155544662692
65.0,-0.00015676891951191133
65.0,-0.00036728119615909066
70.0,-0.00018746755498992942
70.0,-0.00014855885913035044
80.0,-0.0002838753265881479
80.0,-0.001252346942256354
80.0,-0.000284680561325679
80.0,-0.0003230361138693421
80.0,-0.0009959435941851286
80.0,-0.0010332896683715553
80.0,-0.0005136013017928434
80.0,-0.0003322593340988365
90.0,-0.00020073976025188517
90.0,-0.00028238596352211264
90.0,-0.00047212389356585257
90.0,-0.0005821590435943398
90.0,-0.00020889078858394778
90.0,-0.0003085765604355288
90.0,-0.00020083848488692603
90.0,-0.0003177517507280784
90.0,-0.0002045096288137997
90.0,-0.00161378656231329
90.0,-0.00020889078858394778
90.0,-0.00038317232047346144
90.0,-0.0018674867025269327
90.0,-0.00043914071882786044
90.0,-0.00020658940788683796
93.01234074147052,-8.471257185657303e-05
95.0,-0.0018091143738579374
95.0,-0.00046646251908216403
95.0,-0.0004454585693805155
96.2275354663382,-7.152600264488937e-05
100.0,-0.00025741300810977583
100.0,-0.0011212978299778187
100.0,-0.00033639958274506333
100.0,-0.06174447959311625
100.0,-8.711715730937813e-05
100.0,-0.00013297334474864656
100.0,-0.0017923577012825718
100.0,-0.0003607428044585225
100.0,-0.0001739218625774217
100.0,-0.0015643908672190337
100.0,-0.00016125959124167446
100.0,-0.0007791041937599335
100.0,-0.006145557411805848
100.0,-0.0005764404166766189
100.0,-0.0002978420064173029
100.0,-0.0003034734508379815
100.0,0.00014896726007372098
100.0,-0.0018681602901991221
100.0,-0.00037668998522169664
100.0,-0.0008405571600839888
100.0,-0.001082924339610167
100.0,-0.002878155952820166
100.0,-0.00014385842729543324
100.0,-0.000270131078497163
100.0,-0.0006157913921489346
100.0,-0.0004815893238360845
100.0,-0.0009099647437635048
100.0,-0.0002818243160748985
100.0,-0.00026449673051317515
100.0,-0.0003044243604731441
100.0,-0.00015163196381051547
100.0,-0.06024159885969365
100.0,-0.00357523173131583
100.0,-0.000334017217176361
100.0,-0.00020862688483746
100.0,-0.0016927387109351164
100.0,2.7416247961141586e-05
100.0,0.00039541640735464226
100.0,-0.06024159885969365
100.0,-3.217331765995046e-05
100.0,-0.04281890768962259
100.0,-0.0002513256064794024
100.0,-0.00037628969507444703
100.0,-0.00025500086467017115
100.0,-0.00035553094736505257
100.0,-0.00016614871272044174
100.0,-0.01242256134053012
100.0,-0.08881501798764212
100.0,-0.0013166254577114474
100.0,-0.0012317240610498694
100.0,-0.00033715891521571354
100.0,-3.7781872834584384e-05
100.0,-0.0001803517953067256
100.0,-0.0016827365307977747
100.0,-0.001183447238447986
100.0,-0.00036084136171843736
100.0,0.00011306291559667425
100.0,-0.0007346630497266009
100.0,-0.0008329317437951099
100.0,-0.0030336673886024092
100.0,-0.0004896390544506488
100.0,-0.0005989923034662187
100.0,-0.07490631531756604
100.0,-0.04671240466872344
100.0,-0.00034075912662359615
100.0,-0.0016139748698350994
100.0,-0.0002556817925967475
100.0,-0.0002734022653755755
100.0,-0.001059461244433514
100.0,-0.0020361768899281457
100.0,-0.0003910206917469087
100.0,-0.00012535801892124633
100.0,-0.0011212978299778187
100.0,-0.0009427110133582983
100.0,-0.00031925333570496976
100.0,-0.0010124534188781316
100.0,-0.0011393493863490604
100.0,-0.021050334074280804
100.0,-0.00014408044404753023
100.0,-0.00036303956719097567
100.0,-0.0008329317437951099
100.0,-0.0006762527813563051
100.0,-0.0001326180052926913
100.0,-0.0005188460627010773
100.0,-0.00043172889273919115
100.0,-0.0001803517953067256
100.0,-0.0007057646271071669
100.0,-0.00027134874035063885
100.0,-0.00014651343089252094
100.0,-0.0002775434981746378
100.0,-0.0003412535097177162
100.0,-0.0002556817925967475
100.0,-3.537445858471809e-05
100.0,-0.0003303696318169815
100.0,-0.0001537040062610583
100.0,-0.00024117493578196624
100.0,-0.0004909140098364808
100.0,-0.0009312597789310496
100.0,-0.0017503425545838567
100.0,-0.0003034734508379815
100.0,-0.0001803517953067256
100.0,-0.00027937141323745526
