Na/Si,SHAP value
0.0,-0.0010133598806090648
0.0,-0.00039164417703020416
0.0,-0.0010593763331637402
0.0,-0.00024734214075592575
0.0,-0.001024245134093603
0.0,-0.0010939561749755025
0.0,-0.0005840757082890846
0.0,-0.0010002363799948416
0.0,6.36263282582345e-05
0.0,-0.0006872358324294915
0.0,-0.00035802678447687154
0.0,-0.004538086784255081
0.0,-0.0004974178665849284
0.0,-0.0005587645036531555
0.0,-0.0010133598806090648
0.0,-0.0013825418686134326
0.0,-0.0005518714871677331
0.0,-0.008377060325497348
0.0,-0.0005844540036466939
0.0,-0.000599272126081251
0.0,-0.000101303111831651
0.0,-0.0007775703469668709
0.0,-0.0005690224476653112
0.0,-0.000858197023339577
0.0,-0.0006151032415353614
0.0,-0.003112096072168779
0.0,-8.853937826002497e-05
0.0,-0.0028371428322653855
0.0,-0.0011924024874834034
0.0,-0.0015260147262806806
0.0,-0.0005294573875663001
0.0,-0.0010692667719560843
0.0,-0.000887421875606225
0.0,-0.0009630466119479001
0.0,-0.0002656451600520668
0.0,-0.004467828923530413
0.0,-0.0023937202759098026
0.0,-0.010508099342748479
0.0,-0.001298988274193075
0.0,-0.0024120496455745915
0.0,-0.0005898020270490974
0.0,-0.0006653133009055453
0.0,-0.0003181880331694282
0.0,-0.0009630466119479001
0.0,-0.0003165908105361638
0.0,-4.238668419098202e-05
0.0,-0.0004845860119719567
0.0,-0.0017022881093729997
0.0,-0.0005512686279142693
0.0,-0.0014763415717582568
0.0,-0.00037551844531037
0.0,-0.0006001012638301091
0.0,-0.0015584059024603039
0.0,-7.433439420983491e-05
0.0,-0.002145598863822557
0.0,1.760955812321579e-06
0.0,-0.0008445022504358447
0.0,-0.0006142758491033234
0.0,-0.00030614503955599603
0.0,-0.004467828923530413
0.0,-0.0005741726454603125
0.0,0.0004997962629777086
0.0,-0.0005240662131738151
0.0,-0.0007357425097862739
0.0,-0.000715162639309376
0.0,-0.008406446484214725
0.0,-0.0013849137697846605
0.0,-0.002795849387110783
0.0,-0.001191203152856709
0.0,-0.0006850675192546305
0.0,-0.0004604096678692193
0.0,-0.027804260967362646
0.0,-0.0002727170440208515
0.0,-0.00041594705271435367
0.0,-0.0036053904698837413
0.0,-0.0009133640545199471
0.0,-7.577406525525584e-05
0.0,-0.001450818372630505
0.0,-0.00031376384520805095
0.0,-0.001197672844547887
0.0,-0.001196066308110199
0.0,-0.00036558362387565665
0.0,-0.0005511276470980058
0.0,-0.0014461395076244721
0.0,-0.0034520976812787377
0.0,-0.003134125719073136
0.0,-0.002663331176840681
0.0,0.0016845964037945829
0.0,-0.000895446671223903
0.0,-0.0010297532910673198
0.0,0.01320023581177197
0.0,1.8129421145824158e-07
0.0,-0.0010827896844363238
0.0,-0.0006538011073645975
0.0,-0.000770726144146389
0.0,-0.0002838772082653772
0.0,-0.00036246944961805245
0.0,-0.0006940974799713982
0.0,-0.01641176240820142
0.0,-0.0019828898862398726
0.0,-0.0015956893965184077
0.0,1.3211735184056145e-05
0.0,-0.0002133738203018
0.0,-0.0020641666646079243
0.0,-0.00025722885677701346
0.0,-0.0010054083788133617
0.0,-0.0028017531445946103
0.0,-0.0006487749321996342
0.0,-0.000340917802484215
0.0,-0.004304428088552552
0.0,-0.022275967026504515
0.0,-0.0010015581892830975
0.0,-0.0004212646377284578
0.0,-0.000110188916119041
0.0,-0.00025139507848932665
0.0,-0.0007636421951041381
0.0,0.00018323922737698616
0.0,-0.0008424460486220618
0.0,-0.0013825418686134326
0.0,-0.00037971277345646124
0.0,-0.024610086746124048
0.0,-0.00021647353659781158
0.0,-0.0013457340148213335
0.0,-0.03963344247550013
0.0,-0.0002461908569124958
0.0,-0.00014598646027647107
0.0,-0.000602341720108734
0.0,-0.00038401869294629347
0.0,-0.0008887373027260423
0.0,-0.005820534403553802
0.0,-0.0007698864786359487
0.0,5.2916186647325565e-05
0.0,-0.0006244809873212222
0.0,-0.0003158143322918036
0.0,-0.0005294573875663001
0.0,-0.0010955008021264203
0.0,-0.0007146084130035821
0.0,-0.0010999100347164486
0.0,-0.004042331409338143
0.0,-0.00035629401388231636
0.0,0.0026286400351019303
0.0,-0.02315148255100914
0.0,-0.00017364853722986887
0.0,2.3808314422364948e-05
0.0,-0.0013825418686134326
0.0,-0.0006429779588363246
0.0,-0.003981037595495309
0.0,-0.00034485005296345893
0.0,-0.0006010206311579624
0.0,-0.0029795621066313303
0.0,-0.0011036750593328953
0.0,-0.0005372568068098847
0.0,-0.00025434161365396943
0.0,-4.0457424350954836e-05
0.0,-0.0008569843270691263
0.0,-0.001347489353332733
0.0,-0.000321260467480987
0.0,-0.0013609112296550608
0.0,-0.02021195638679778
